Player,Team,League,Pivot_Master,Maestro,Box_to_Box,Age,Nationality,Height,Foot,Market Value,Contract Until,Position,Annual Salary,Release Clause,Diez,Space_Invader,Key_Passer,Creative_Winger,Falso_Nueve,Aerial_Dominator,Lethal_Striker,Valverde_Score
Azor Matusiwa,Rennes,Ligue_1,90.4,78.2,85.9,27.0,"Netherlands, Angola","1,73m",right,€10.000.000,"Jun 30, 2028",Defensive Midfield,€1.300.000.00,€0,,,,,,,,84.8
André,Wolverhampton_Wanderers,EPL,90.0,72.0,74.1,23.0,Brazil,"1,76m",right,€25.000.000,"Jun 30, 2029",Defensive Midfield,,,,,,,,,,78.7
João Gomes,Wolverhampton_Wanderers,EPL,89.4,77.0,84.8,24.0,Brazil,"1,76m",right,€40.000.000,"Jun 30, 2030",Central Midfield,€4.316.933.00,€0,,,,,,,,83.7
Pedri,Barcelona,La_Liga,89.3,99.0,93.9,22.0,Spain,"1,74m",right,€120.000.000,"Jun 30, 2030",Central Midfield,€12.500.000.00,€1.000.000.000,,,,,,,,94.1
Marten de Roon,Atalanta,Serie_A,88.8,94.0,81.2,34.0,Netherlands,"1,85m",right,€7.000.000,"Jun 30, 2026",Defensive Midfield,€1.850.000.00,€0,,,,,,,,88.0
Tom Bischof,Hoffenheim,Bundesliga,88.7,71.6,91.3,19.0,Germany,"1,76m",left,€25.000.000,"Jun 30, 2025",Central Midfield,€140.000.00,€0,,,,,,,,83.9
Alexis Mac Allister,Liverpool,EPL,88.5,79.8,77.2,26.0,"Argentina, Italy","1,76m",right,€90.000.000,"Jun 30, 2028",Central Midfield,€9.250.570.00,€0,,,,,,,,81.8
Johnny Cardoso,Real_Betis,La_Liga,88.4,70.8,77.8,23.0,"United States, Italy","1,86m",right,€20.000.000,"Jun 30, 2030",Defensive Midfield,,,,,,,,,,79.0
Lamine Camara,Monaco,Ligue_1,88.3,80.6,81.1,21.0,Senegal,"1,73m",right,€20.000.000,"Jun 30, 2029",Central Midfield,€920.000.00,€0,,,,,,,,83.3
Federico Valverde,Real_Madrid,La_Liga,87.9,91.2,85.3,26.0,"Uruguay, Spain","1,82m",right,€130.000.000,"Jun 30, 2029",Central Midfield,€16.670.000.00,€1.000.000.000,,,,,,,,88.1
Remo Freuler,Bologna,Serie_A,87.8,86.3,83.4,33.0,Switzerland,"1,80m",right,€6.500.000,"Jun 30, 2026",Central Midfield,€1.850.000.00,€0,,,,,,,,85.8
Éderson,Atalanta,Serie_A,87.5,86.6,83.3,25.0,Brazil,"1,83m",right,€50.000.000,"Jun 30, 2027",Central Midfield,€2.560.000.00,€0,,,,,,,,85.8
Mahdi Camara,Brest,Ligue_1,86.7,73.8,84.5,26.0,"France, The Gambia","1,78m",right,€10.000.000,"Jun 30, 2027",Central Midfield,€300.000.00,€0,,,,,,,,81.7
Antonio Blanco,Alaves,La_Liga,86.5,76.5,76.6,24.0,Spain,"1,76m",right,€7.500.000,"Jun 30, 2027",Defensive Midfield,€500.000.00,€0,,,,,,,,79.9
Bruno Fernandes,Manchester_United,EPL,86.1,91.5,85.9,30.0,Portugal,"1,79m",right,€55.000.000,"Jun 30, 2027",Attacking Midfield,,,,,,,,,,87.8
Hicham Boudaoui,Nice,Ligue_1,86.0,71.2,83.1,25.0,Algeria,"1,75m",right,€10.000.000,"Jun 30, 2027",Central Midfield,€600.000.00,€0,,,,,,,,80.1
Mikel Jauregizar,Athletic_Club,La_Liga,85.8,71.9,71.5,21.0,Spain,"1,77m",right,€20.000.000,"Jun 30, 2027",Central Midfield,€210.000.00,€0,,,,,,,,76.4
Denis Zakaria,Monaco,Ligue_1,85.5,73.2,79.5,28.0,"Switzerland, DR Congo","1,90m",right,€30.000.000,"Jun 30, 2028",Defensive Midfield,€3.910.000.00,€0,,,,,,,,79.4
Rani Khedira,Union_Berlin,Bundesliga,85.5,63.8,73.6,31.0,"Germany, Tunisia","1,89m",right,€3.000.000,"Jun 30, 2025",Defensive Midfield,€850.000.00,€0,,,,,,,,74.3
Thomas Partey,Arsenal,EPL,85.4,82.4,82.2,31.0,Ghana,"1,85m",right,€15.000.000,"Jun 30, 2025",Defensive Midfield,€12.334.093.00,€0,,,,,,,,83.3
Tyler Adams,Bournemouth,EPL,85.0,66.6,64.5,26.0,United States,"1,75m",right,€18.000.000,"Jun 30, 2028",Defensive Midfield,€3.700.228.00,€0,,,,,,,,72.0
Youri Tielemans,Aston_Villa,EPL,84.8,91.1,78.8,27.0,"Belgium, DR Congo","1,77m",right,€35.000.000,"Jun 30, 2027",Central Midfield,,,,,,,,,,84.9
Frank Onyeka,Augsburg,Bundesliga,84.7,65.4,81.6,27.0,Nigeria,"1,83m",right,€7.000.000,"Jun 30, 2025",Central Midfield,€2.450.000.00,€0,,,,,,,,77.2
Joshua Kimmich,Bayern_Munich,Bundesliga,84.6,99.0,84.8,30.0,Germany,"1,77m",right,€50.000.000,"Jun 30, 2029",Defensive Midfield,€20.000.000.00,€0,,,,,,,,89.5
Martín Zubimendi,Real_Sociedad,La_Liga,84.0,84.0,83.2,26.0,Spain,"1,81m",right,€60.000.000,"Jun 30, 2027",Defensive Midfield,€3.000.000.00,€60.000.000,,,,,,,,83.7
Ryan Christie,Bournemouth,EPL,83.9,74.0,77.1,30.0,Scotland,"1,78m",left,€12.000.000,"Jun 30, 2027",Defensive Midfield,€4.316.933.00,€0,,,,,,,,78.3
Julian Weigl,Monchengladbach,Bundesliga,83.9,73.3,87.2,29.0,Germany,"1,86m",right,€6.000.000,"Jun 30, 2028",Defensive Midfield,€3.400.000.00,€0,,,,,,,,81.5
Ibrahima Sissoko,Bochum,Bundesliga,83.9,66.1,84.9,27.0,"Mali, France","1,93m",right,€6.000.000,"Jun 30, 2027",Defensive Midfield,€1.500.000.00,€0,,,,,,,,78.3
Abdoulaye Touré,Le_Havre,Ligue_1,83.8,71.1,78.1,31.0,"Guinea, France","1,88m",right,€3.000.000,"Jun 30, 2025",Defensive Midfield,€1.100.000.00,€0,,,,,,,,77.7
Maximilian Eggestein,Freiburg,Bundesliga,83.7,71.6,80.3,28.0,Germany,"1,81m",right,€10.000.000,-,Central Midfield,€960.000.00,€0,,,,,,,,78.5
Aron Dønnum,Toulouse,Ligue_1,83.5,72.0,96.4,27.0,Norway,"1,78m",left,€4.000.000,"Jun 30, 2028",Left Midfield,€600.000.00,€0,,,,,,,,84.0
Adrien Thomasson,Lens,Ligue_1,83.2,76.2,84.2,31.0,"France, Croatia","1,75m",right,€5.000.000,"Jun 30, 2026",Attacking Midfield,€1.080.000.00,€0,,,,,,,,81.2
Atakan Karazor,Stuttgart,Bundesliga,83.1,72.2,79.8,28.0,"Türkiye, Germany","1,91m",right,€12.000.000,"Jun 30, 2028",Defensive Midfield,€470.000.00,€0,,,,,,,,78.4
Melih Kabasakal,Eyüpspor,Süper_Lig,82.1,82.1,99.0,,,,,,,,,,,,,,,,,87.7
Aurélien Tchouaméni,Real_Madrid,La_Liga,81.9,85.5,76.1,25.0,"France, Cameroon","1,88m",right,€80.000.000,"Jun 30, 2028",Defensive Midfield,€12.500.000.00,€1.000.000.000,,,,,,,,81.2
Ondrej Duda,Hellas_Verona,Serie_A,81.8,69.2,78.2,30.0,Slovakia,"1,80m",right,€4.000.000,"Jun 30, 2025",Central Midfield,€1.100.000.00,€0,,,,,,,,76.4
Jackson Irvine,St_Pauli,Bundesliga,81.6,66.6,76.8,32.0,"Australia, Scotland","1,89m",right,€2.000.000,-,Central Midfield,€660.000.00,€0,,,,,,,,75.0
Manuel Locatelli,Juventus,Serie_A,81.4,97.4,75.1,27.0,Italy,"1,85m",right,€28.000.000,"Jun 30, 2028",Defensive Midfield,€6.110.000.00,€0,,,,,,,,84.6
João Neves,Paris_Saint_Germain,Ligue_1,81.3,80.3,81.6,20.0,Portugal,"1,74m",right,€65.000.000,"Jun 30, 2029",Defensive Midfield,€4.820.000.00,€0,,,,,,,,81.1
Himad Abdelli,Angers,Ligue_1,81.3,83.8,95.4,25.0,"Algeria, France","1,85m",right,€7.000.000,"Jun 30, 2026",Attacking Midfield,€120.000.00,€0,,,,,,,,86.8
Geoffrey Kondogbia,Marseille,Ligue_1,81.3,78.5,77.2,32.0,"Central African Republic, France","1,88m",left,€8.000.000,"Jun 30, 2027",Defensive Midfield,€5.450.000.00,€0,,,,,,,,79.0
Bruno Guimarães,Newcastle_United,EPL,81.3,85.6,82.5,27.0,"Brazil, Spain","1,82m",right,€80.000.000,"Jun 30, 2028",Defensive Midfield,€9.867.275.00,€118.597.050,,,,,,,,83.1
Jean-Eudes Aholou,Angers,Ligue_1,81.3,67.4,74.2,31.0,Cote d'Ivoire,"1,86m",left,€2.000.000,"Jun 30, 2026",Defensive Midfield,€900.000.00,€0,,,,,,,,74.3
Jan Schöppner,Heidenheim,Bundesliga,81.2,66.7,80.5,25.0,Germany,"1,90m",right,€4.500.000,"Jun 30, 2028",Central Midfield,€480.000.00,€0,,,,,,,,76.1
Sandro Tonali,Newcastle_United,EPL,81.1,71.7,76.7,24.0,Italy,"1,81m",right,€45.000.000,"Jun 30, 2028",Central Midfield,€7.400.456.00,€0,,,,,,,,76.5
Dominik Kohr,Mainz_05,Bundesliga,81.0,69.5,82.1,31.0,Germany,"1,83m",right,€3.500.000,"Jun 30, 2028",Defensive Midfield,€1.890.000.00,€0,,,,,,,,77.5
Saša Lukić,Fulham,EPL,81.0,70.2,72.3,28.0,Serbia,"1,82m",right,€10.000.000,"Jun 30, 2027",Central Midfield,€3.885.239.00,€0,,,,,,,,74.5
Youssouf Fofana,Milan,Serie_A,80.7,76.6,79.1,26.0,"France, Mali","1,85m",right,€30.000.000,"Jun 30, 2028",Defensive Midfield,€5.560.000.00,€0,,,,,,,,78.8
Haris Belkebla,Angers,Ligue_1,80.6,67.7,70.2,31.0,"Algeria, France","1,77m",right,€2.000.000,"Jun 30, 2026",Central Midfield,€820.000.00,€0,,,,,,,,72.8
Elliot Anderson,Nottingham_Forest,EPL,80.4,70.6,82.7,22.0,"England, Scotland","1,79m",right,€30.000.000,"Jun 30, 2029",Central Midfield,,,,,,,,,,77.9
Santi Comesaña,Villareal,La_Liga,80.2,75.9,78.0,28.0,Spain,"1,88m",both,€8.000.000,"Jun 30, 2028",Central Midfield,,,,,,,,,,78.0
Pathé Ciss,Rayo_Vallecano,La_Liga,80.0,72.0,72.6,31.0,Senegal,"1,86m",right,€2.000.000,"Jun 30, 2027",Central Midfield,€340.000.00,€0,,,,,,,,74.9
Angelo Stiller,Stuttgart,Bundesliga,79.9,87.2,84.3,24.0,Germany,"1,83m",left,€38.000.000,"Jun 30, 2028",Defensive Midfield,€4.520.000.00,€40.000.000,,,,,,,,83.8
Nicolas Seiwald,RB_Leipzig,Bundesliga,79.7,68.3,71.2,24.0,Austria,"1,80m",right,€16.000.000,"Jun 30, 2028",Central Midfield,€2.200.000.00,€0,,,,,,,,73.1
Mattéo Guendouzi,Lazio,Serie_A,79.4,93.8,92.3,26.0,"France, Morocco","1,85m",right,€32.000.000,"Jun 30, 2028",Central Midfield,€3.210.000.00,€50.000.000,,,,,,,,88.5
Mateus Fernandes,Southampton,EPL,79.2,71.9,86.2,20.0,Portugal,"1,78m",right,€15.000.000,"Jun 30, 2029",Central Midfield,€1.233.409.00,€0,,,,,,,,79.1
Stanislav Lobotka,Napoli,Serie_A,79.2,74.0,82.6,30.0,Slovakia,"1,68m",right,€25.000.000,"Jun 30, 2027",Defensive Midfield,€3.590.000.00,€25.000.000,,,,,,,,78.6
Sam Morsy,Ipswich_Town,EPL,79.0,72.5,73.1,33.0,"Egypt, England","1,75m",right,€0,"Jun 30, 2026",Central Midfield,,,,,,,,,,74.9
Nadiem Amiri,Mainz_05,Bundesliga,79.0,73.5,83.3,28.0,Germany,"1,80m",right,€18.000.000,"Jun 30, 2028",Central Midfield,€1.700.000.00,€0,,,,,,,,78.6
Granit Xhaka,Bayer_Leverkusen,Bundesliga,78.8,93.1,79.6,32.0,Switzerland,"1,86m",left,€17.000.000,"Jun 30, 2028",Defensive Midfield,,,,,,,,,,83.8
Corentin Tolisso,Lyon,Ligue_1,78.8,80.8,78.9,30.0,"France, Togo","1,81m",right,€10.000.000,"Jun 30, 2027",Central Midfield,€5.450.000.00,€0,,,,,,,,79.5
Jesper Karlström,Udinese,Serie_A,78.5,74.0,74.4,29.0,Sweden,"1,85m",right,€3.500.000,"Jun 30, 2026",Defensive Midfield,€1.110.000.00,€0,,,,,,,,75.6
Vitinha,Paris_Saint_Germain,Ligue_1,78.4,93.0,79.4,25.0,Portugal,"1,72m",right,€60.000.000,"Jun 30, 2029",Central Midfield,€10.900.000.00,€0,,,,,,,,83.6
Sergi Altimira,Real_Betis,La_Liga,78.4,68.0,69.9,23.0,Spain,"1,88m",right,€10.000.000,"Jun 30, 2029",Central Midfield,€1.250.000.00,€60.000.000,,,,,,,,72.1
Ylber Ramadani,Lecce,Serie_A,78.3,61.5,68.9,29.0,"Albania, Kosovo","1,85m",right,€2.200.000,"Jun 30, 2026",Defensive Midfield,€580.000.00,€0,,,,,,,,69.6
Rocco Reitz,Monchengladbach,Bundesliga,78.2,62.9,71.6,22.0,Germany,"1,76m",right,€15.000.000,"Jun 30, 2028",Central Midfield,€720.000.00,€0,,,,,,,,70.9
Joelinton,Newcastle_United,EPL,78.0,69.1,74.0,28.0,Brazil,"1,86m",right,€40.000.000,"Jun 30, 2028",Central Midfield,€9.250.570.00,€0,,,,,,,,73.7
Pablo Barrios,Atletico_Madrid,La_Liga,77.8,78.1,75.3,21.0,Spain,"1,81m",right,€50.000.000,"Jun 30, 2028",Central Midfield,€1.150.000.00,€100.000.000,,,,,,,,77.1
Enzo Barrenechea,Valencia,La_Liga,77.8,73.7,66.1,23.0,Argentina,"1,86m",right,€7.500.000,"Jun 30, 2025",Defensive Midfield,€1.250.000.00,€0,,,,,,,,72.5
Yvan Neyou,Leganes,La_Liga,77.8,68.7,69.7,28.0,"Cameroon, France","1,80m",right,€2.500.000,"Jun 30, 2025",Defensive Midfield,,,,,,,,,,72.1
Claudio Falcão,Farense,Primeira_Liga,77.7,63.6,68.6,30.0,"Brazil, Portugal","1,87m",right,€1.000.000,"Jun 30, 2025",Defensive Midfield,€100.000.00,€0,,,,,,,,70.0
Rodrigo Bentancur,Tottenham_Hotspur,EPL,77.7,71.1,70.2,27.0,Uruguay,"1,87m",right,€30.000.000,"Jun 30, 2026",Defensive Midfield,€4.625.285.00,€0,,,,,,,,73.0
Jefferson Lerma,Crystal_Palace,EPL,77.6,67.4,68.8,30.0,Colombia,"1,79m",right,€12.000.000,"Jun 30, 2026",Defensive Midfield,,,,,,,,,,71.3
Nicolás Domínguez,Nottingham_Forest,EPL,77.4,64.4,67.7,26.0,"Argentina, Italy","1,79m",right,€17.000.000,"Jun 30, 2028",Central Midfield,,,,,,,,,,69.8
Declan Rice,Arsenal,EPL,77.2,78.3,82.5,26.0,"England, Ireland","1,88m",right,€110.000.000,"Jun 30, 2028",Central Midfield,€14.800.912.00,€0,,,,,,,,79.3
Wilfred Ndidi,Leicester_City,EPL,77.0,64.0,71.4,28.0,"Nigeria, England","1,83m",right,€18.000.000,"Jun 30, 2027",Defensive Midfield,€4.625.285.00,€10.673.734,,,,,,,,70.8
Mikkel Damsgaard,Brentford,EPL,76.9,77.4,84.3,24.0,Denmark,"1,80m",right,€25.000.000,"Jun 30, 2030",Attacking Midfield,€2.158.466.00,€0,,,,,,,,79.5
Adrien Rabiot,Marseille,Ligue_1,76.9,78.9,89.1,30.0,France,"1,91m",left,€25.000.000,"Jun 30, 2026",Central Midfield,,,,,,,,,,81.6
Scott McTominay,Napoli,Serie_A,76.9,65.0,80.9,28.0,"Scotland, England","1,91m",right,€40.000.000,"Jun 30, 2028",Central Midfield,€5.560.000.00,€0,,,,,,,,74.3
Maximilian Arnold,Wolfsburg,Bundesliga,76.4,67.9,60.2,30.0,Germany,"1,84m",left,€7.000.000,"Jun 30, 2026",Central Midfield,€5.500.000.00,€0,,,,,,,,68.2
Pape Gueye,Villareal,La_Liga,76.4,71.9,69.0,26.0,"Senegal, France","1,89m",left,€10.000.000,"Jun 30, 2028",Defensive Midfield,,,,,,,,,,72.4
Anthony Caci,Mainz_05,Bundesliga,76.4,66.8,85.1,27.0,France,"1,84m",right,€10.000.000,"Jun 30, 2026",Right Midfield,€1.680.000.00,€0,,,,,,,,76.1
Lucas Paquetá,West_Ham_United,EPL,76.0,73.0,69.8,27.0,"Brazil, Portugal","1,80m",left,€35.000.000,"Jun 30, 2027",Attacking Midfield,€9.250.570.00,€100.807.492,,,,,,,,72.9
Anouar El Azzouzi,Zwolle,Eredivisie,75.9,65.9,69.9,23.0,"Morocco, Netherlands","1,87m",right,€1.000.000,"Jun 30, 2026",Defensive Midfield,€90.000.00,€0,,,,,,,,70.6
Renato Tapia,Leganes,La_Liga,75.9,63.5,69.6,29.0,"Peru, Netherlands","1,85m",right,€3.500.000,"Jun 30, 2026",Defensive Midfield,,,,,,,,,,69.7
Hugo Larsson,Eintracht_Frankfurt,Bundesliga,75.9,65.8,72.4,20.0,Sweden,"1,87m",right,€40.000.000,"Jun 30, 2029",Central Midfield,€1.890.000.00,€0,,,,,,,,71.4
Ellyes Skhiri,Eintracht_Frankfurt,Bundesliga,75.7,65.6,76.6,29.0,"Tunisia, France","1,85m",right,€9.000.000,"Jun 30, 2027",Defensive Midfield,€2.800.000.00,€0,,,,,,,,72.6
Alex Král,Espanyol,La_Liga,75.5,65.4,78.8,26.0,Czech Republic,"1,86m",right,€6.000.000,"Jun 30, 2025",Central Midfield,€1.980.000.00,€0,,,,,,,,73.2
Yangel Herrera,Girona,La_Liga,75.5,68.9,69.9,27.0,"Venezuela, Spain","1,84m",right,€20.000.000,"Jun 30, 2027",Central Midfield,€1.100.000.00,€0,,,,,,,,71.4
Warren Zaïre-Emery,Paris_Saint_Germain,Ligue_1,75.4,74.7,78.9,19.0,"France, Martinique","1,78m",right,€60.000.000,"Jun 30, 2029",Central Midfield,€11.400.000.00,€0,,,,,,,,76.3
Alberto Grassi,Empoli,Serie_A,75.4,61.5,69.2,30.0,Italy,"1,83m",right,€2.000.000,"Jun 30, 2026",Defensive Midfield,€1.300.000.00,€0,,,,,,,,68.7
Sander Berge,Fulham,EPL,75.3,69.5,69.9,27.0,Norway,"1,95m",right,€25.000.000,"Jun 30, 2029",Defensive Midfield,€3.391.876.00,€0,,,,,,,,71.6
Jude Bellingham,Real_Madrid,La_Liga,75.0,76.7,80.2,21.0,"England, Ireland","1,86m",right,€180.000.000,"Jun 30, 2029",Attacking Midfield,€20.830.000.00,€1.000.000.000,,,,,,,,77.3
Will Hughes,Crystal_Palace,EPL,74.9,64.0,63.3,30.0,England,"1,85m",left,€9.000.000,"Jun 30, 2027",Central Midfield,,,,,,,,,,67.4
Paxten Aaronson,Utrecht,Eredivisie,74.9,58.2,74.6,21.0,United States,"1,75m",right,€7.000.000,"Jun 30, 2025",Central Midfield,€840.000.00,€0,,,,,,,,69.2
Marcos Llorente,Atletico_Madrid,La_Liga,74.9,68.4,81.2,30.0,Spain,"1,84m",right,€28.000.000,"Jun 30, 2027",Right Midfield,€8.330.000.00,€120.000.000,,,,,,,,74.8
Johann Lepenant,Nantes,Ligue_1,74.7,65.7,75.4,22.0,France,"1,76m",right,€7.000.000,"Jun 30, 2025",Defensive Midfield,€720.000.00,€0,,,,,,,,71.9
Valentin Rongier,Marseille,Ligue_1,74.5,68.2,70.3,30.0,France,"1,72m",right,€9.000.000,"Jun 30, 2026",Central Midfield,€3.960.000.00,€0,,,,,,,,71.0
Omar Mascarell,Mallorca,La_Liga,74.4,64.5,67.7,32.0,"Equatorial Guinea, Spain","1,81m",right,€0,"Jun 30, 2026",Defensive Midfield,€820.000.00,€0,,,,,,,,68.9
Samuele Ricci,Torino,Serie_A,74.3,68.2,69.5,23.0,Italy,"1,81m",right,€30.000.000,"Jun 30, 2028",Defensive Midfield,€3.330.000.00,€0,,,,,,,,70.7
Yasin Ayari,Brighton_and_Hove_Albion,EPL,74.3,62.1,68.0,21.0,"Sweden, Tunisia","1,72m",right,€17.000.000,"Jun 30, 2027",Central Midfield,€493.364.00,€0,,,,,,,,68.1
Pablo Rosario,Nice,Ligue_1,74.2,66.0,66.1,28.0,"Netherlands, Dominican Republic","1,85m",right,€8.000.000,"Jun 30, 2026",Defensive Midfield,€390.000.00,€0,,,,,,,,68.8
Patrick Osterhage,Freiburg,Bundesliga,74.2,60.8,70.5,25.0,Germany,"1,86m",left,€8.500.000,-,Central Midfield,€840.000.00,€0,,,,,,,,68.5
Vincent Sierro,Toulouse,Ligue_1,74.1,72.5,64.4,29.0,Switzerland,"1,85m",right,€4.000.000,"Jun 30, 2026",Central Midfield,€360.000.00,€0,,,,,,,,70.3
Luis Milla,Getafe,La_Liga,74.1,74.9,72.9,30.0,Spain,"1,75m",right,€3.500.000,"Jun 30, 2027",Central Midfield,€780.000.00,€0,,,,,,,,74.0
Lassana Coulibaly,Lecce,Serie_A,74.1,62.6,67.9,29.0,Mali,"1,83m",right,€2.500.000,"Jun 30, 2027",Central Midfield,€770.000.00,€0,,,,,,,,68.2
Pape Matar Sarr,Tottenham_Hotspur,EPL,74.0,65.3,67.5,22.0,Senegal,"1,84m",right,€40.000.000,"Jun 30, 2030",Central Midfield,,,,,,,,,,68.9
Joe Aribo,Southampton,EPL,73.9,63.6,68.3,28.0,"Nigeria, England","1,83m",left,€6.000.000,"Jun 30, 2026",Central Midfield,€4.316.933.00,€0,,,,,,,,68.6
Enric Llansana,Go_Ahead_Eag,Eredivisie,73.6,65.4,69.4,24.0,"Netherlands, Spain","1,83m",right,€3.000.000,"Jun 30, 2026",Defensive Midfield,€70.000.00,€0,,,,,,,,69.5
Mauro Arambarri,Getafe,La_Liga,73.4,62.8,64.8,29.0,"Uruguay, Spain","1,75m",right,€7.000.000,"Jun 30, 2028",Central Midfield,€2.520.000.00,€0,,,,,,,,67.0
Flynn Downes,Southampton,EPL,73.4,63.8,64.2,26.0,England,"1,78m",right,€15.000.000,"Jun 30, 2028",Defensive Midfield,€1.850.114.00,€0,,,,,,,,67.1
Mirko Topić,Famalicão,Primeira_Liga,73.4,67.0,65.7,24.0,"Serbia, Bosnia-Herzegovina","1,90m",right,€5.000.000,"Jun 30, 2027",Defensive Midfield,€480.000.00,€0,,,,,,,,68.7
Enzo Fernández,Chelsea,EPL,73.3,79.4,76.2,24.0,Argentina,"1,78m",right,€75.000.000,"Jun 30, 2032",Central Midfield,€11.100.684.00,€0,,,,,,,,76.3
Andy Diouf,Lens,Ligue_1,73.3,65.3,82.3,21.0,"France, Senegal","1,87m",left,€10.000.000,"Jun 30, 2028",Central Midfield,€900.000.00,€0,,,,,,,,73.6
Richard,Alanyaspor,Süper_Lig,73.2,73.2,91.7,31.0,Brazil,"1,91m",right,€0,"Jun 30, 2027",Defensive Midfield,€1.100.000.00,€0,,,,,,,,79.4
Hugo Magnetti,Brest,Ligue_1,73.2,65.6,65.0,26.0,France,"1,80m",right,€7.000.000,"Jun 30, 2027",Central Midfield,€820.000.00,€0,,,,,,,,67.9
Romano Schmid,Werder_Bremen,Bundesliga,73.1,73.2,96.7,25.0,Austria,"1,68m",right,€15.000.000,-,Attacking Midfield,€360.000.00,€0,,,,,,,,81.0
Beñat Prados,Athletic_Club,La_Liga,73.0,63.5,66.3,24.0,Spain,"1,80m",right,€18.000.000,"Jun 30, 2031",Central Midfield,€1.040.000.00,€0,,,,,,,,67.6
Pol Lozano,Espanyol,La_Liga,72.9,65.7,58.7,25.0,Spain,"1,76m",right,€4.000.000,"Jun 30, 2027",Central Midfield,€620.000.00,€0,,,,,,,,65.8
Yassine Kechta,Le_Havre,Ligue_1,72.9,62.6,74.5,23.0,"Morocco, France","1,74m",left,€5.000.000,"Jun 30, 2026",Central Midfield,€520.000.00,€0,,,,,,,,70.0
Boubakary Soumaré,Leicester_City,EPL,72.9,67.3,72.9,26.0,"France, Senegal","1,88m",right,€14.000.000,"Jun 30, 2026",Defensive Midfield,€4.933.637.00,€0,,,,,,,,71.0
Nemanja Gudelj,Sevilla,La_Liga,72.9,66.6,66.6,33.0,"Serbia, Netherlands","1,87m",right,€3.500.000,"Jun 30, 2026",Defensive Midfield,€4.100.000.00,€0,,,,,,,,68.7
Tijjani Reijnders,Milan,Serie_A,72.9,77.4,93.7,26.0,Netherlands,"1,85m",right,€50.000.000,"Jun 30, 2030",Central Midfield,€3.850.000.00,€0,,,,,,,,81.3
Bernardo Silva,Manchester_City,EPL,72.8,69.2,81.5,30.0,Portugal,"1,73m",left,€45.000.000,"Jun 30, 2026",Attacking Midfield,,,,,,,,,,74.5
Seydouba Cissé,Leganes,La_Liga,72.8,64.5,71.7,24.0,Guinea,"1,78m",right,€3.000.000,"Jun 30, 2026",Central Midfield,,,,,,,,,,69.7
